id,path
21031,7 8 11 32 21 22 33 38 67 40 9 10
3226,1 8 37 112 21 22 18 10
19882,1 8 43 11 21 22 33 38 18 10
25463,1 8 41 37 30 31 38 76 19
22148,1 8 58 47 48 22 33 29 9 10
23653,1 8 41 39 43 11 21 22 12 40 9 4
19028,7 8 11 21 22 24 31 14 81 9 4
3518,7 8 17 11 21 32 33 34 22 12 9 10
18999,7 8 11 21 22 24 31 14 81 9 10
3517,7 8 17 11 21 32 33 34 22 12 9 4
14558,20 37 32 33 22 61 76 19
3227,1 8 37 112 21 22 18 19
3851,20 74 43 11 32 33 34 12 9 4
18349,1 8 80 13 23 24 22 12 9 10
3729,7 8 17 18 42 9 10
15144,20 43 74 41 42 19
219,7 8 17 18 42 9 4
7425,1 8 80 13 23 24 22 12 9 4
21201,1 8 11 12 18 44 9 4
12801,1 8 39 39 77 78 40 40 9 4
19441,7 8 11 88 32 21 26 70 71 27 72 4
13317,20 13 30 23 24 22 12 9 10
24471,1 8 17 28 109 32 33 22 49 9 10
24137,1 8 74 17 98 11 21 22 61 19
11944,1 8 39 60 17 13 23 24 22 12 9 4
13316,20 13 30 23 24 22 12 9 4
24687,20 41 74 43 11 21 22 33 57 9 10
20875,1 8 80 11 12 42 75 9 10
20876,1 8 80 11 12 42 75 9 4
4632,7 8 17 43 44 19
16111,1 8 74 43 44 75 9 4
8233,7 8 15 37 38 19
4457,1 8 37 38 18 19
7168,1 8 74 43 44 75 9 10
682,1 8 37 38 18 10
25652,7 8 39 37 30 31 54 40 67 9 4
8940,20 56 30 103 104 31 57 40 9 4
18257,20 13 103 23 24 22 78 40 9 10
17454,20 56 30 103 104 31 57 40 9 10
1160,7 8 39 43 44 19
10977,73 21 32 21 47 21 22 61
9760,1 8 43 17 32 47 21 22 61 19
23615,7 8 35 32 33 18 9 4
13821,7 8 66 37 32 33 49 9 4
3077,7 8 41 56 32 33 22 12 40 9 10
12544,7 8 41 37 47 48 12 9 4
17909,7 8 66 37 32 33 49 9 10
15298,7 8 101 47 21 22 102 9 10
9390,7 8 101 47 21 22 102 9 4
13097,20 17 88 32 88 32 21 47 21 22 61 19
1000,7 8 66 63 21 32 21 22 33 54 67 9 10
21440,1 8 56 56 32 33 12 9 10
25230,20 74 43 44 75 99 42 9 10
